id,map_id,db_id,prefecture_id,prefecture_en,prefecture_jp,area_en,area_jp,area_furigana,type_en,type_jp,population
0,17985,04444,4,Miyagi,宮城県,Shikama,色麻町,しかまちょう,Machi,町,7431.0
1,17986,04203,4,Miyagi,宮城県,Shiogama,塩竈市,しおがまし,Shi,市,56490.0
2,17987,04206,4,Miyagi,宮城県,Shiroishi,白石市,しろいしし,Shi,市,37422.0
3,17988,04209,4,Miyagi,宮城県,Tagajo,多賀城市,たがじょうし,Shi,市,63060.0
4,17989,04421,4,Miyagi,宮城県,Taiwa,大和町,たいわちょう,Machi,町,24894.0
5,17990,04212,4,Miyagi,宮城県,Tome,登米市,とめし,Shi,市,83969.0
6,17991,-1,4,Miyagi,宮城県,Tomiya,富谷町,とみやまち,Machi,町,47042.0
7,17992,04501,4,Miyagi,宮城県,Wakuya,涌谷町,わくやちょう,Machi,町,17494.0
8,17993,04361,4,Miyagi,宮城県,Watari,亘理町,わたりちょう,Machi,町,34845.0
9,17994,04362,4,Miyagi,宮城県,Yamamoto,山元町,やまもとちょう,Machi,町,16704.0
10,17995,04301,4,Miyagi,宮城県,Zao,蔵王町,ざおうまち,Machi,町,12882.0
11,17996,45383,45,Miyazaki,宮崎県,Aya,綾町,あやちょう,Machi,町,7224.0
12,17997,45209,45,Miyazaki,宮崎県,Ebino,えびの市,えびのし,Shi,市,21606.0
13,17998,45443,45,Miyazaki,宮崎県,Gokase,五ヶ瀬町,ごかせちょう,Machi,町,4427.0
14,17999,45442,45,Miyazaki,宮崎県,Hinokage,日之影町,ひのかげちょう,Machi,町,4463.0
15,18000,45206,45,Miyazaki,宮崎県,Hyuga,日向市,ひゅうがし,Shi,市,63223.0
16,18001,45421,45,Miyazaki,宮崎県,Kadogawa,門川町,かどがわちょう,Machi,町,18854.0
17,18002,45405,45,Miyazaki,宮崎県,Kawaminami,川南町,かわみなみちょう,Machi,町,17009.0
18,18003,45404,45,Miyazaki,宮崎県,Kijo,木城町,きじょうちょう,Machi,町,5177.0
19,18004,45204,45,Miyazaki,宮崎県,Nichinan,日南市,にちなんし,Shi,市,57689.0
20,18005,45201,45,Miyazaki,宮崎県,Miyazaki,宮崎市,みやざきし,Shi,市,400583.0
21,18006,45205,45,Miyazaki,宮崎県,Kobayashi,小林市,こばやしし,Shi,市,48270.0
22,18007,45382,45,Miyazaki,宮崎県,Kunitomi,国富町,くにとみちょう,Machi,町,20909.0
23,18008,45207,45,Miyazaki,宮崎県,Kushima,串間市,くしまし,Shi,市,20453.0
24,18009,45341,45,Miyazaki,宮崎県,Mimata,三股町,みまたちょう,Machi,町,24800.0
25,18010,45431,45,Miyazaki,宮崎県,Misato,美郷町,みさとちょう,Machi,町,6248.0
26,18011,45202,45,Miyazaki,宮崎県,Miyakonojo,都城市,みやこのじょうし,Shi,市,169602.0
27,18013,45429,45,Miyazaki,宮崎県,Morotsuka,諸塚村,もろつかそん,Mura,村,1882.0
28,18016,-1,45,Miyazaki,宮崎県,Nishimera,西米良村,にしめらそん,Machi,町,1241.0
29,18017,45203,45,Miyazaki,宮崎県,Nobeoka,延岡市,のべおかし,Shi,市,131182.0
30,18019,45208,45,Miyazaki,宮崎県,Saito,西都市,さいとし,Shi,市,32614.0
31,18020,-1,45,Miyazaki,宮崎県,Shiba,椎葉村,しいばそん,Mura,村,3092.0
32,18021,45402,45,Miyazaki,宮崎県,Shintomi,新富町,しんとみちょう,Machi,町,18092.0
33,18022,45441,45,Miyazaki,宮崎県,Takachiho,高千穂町,たかちほちょう,Machi,町,13723.0
34,18023,45361,45,Miyazaki,宮崎県,Takaharu,高原町,たかはるちょう,Machi,町,10000.0
35,18024,45401,45,Miyazaki,宮崎県,Takanabe,高鍋町,たかなべちょう,Machi,町,21733.0
36,18025,45406,45,Miyazaki,宮崎県,Tsuno,都農町,つのちょう,Machi,町,11137.0
37,18026,20407,20,Nagano,長野県,Achi,阿智村,あちむら,Mura,村,7036.0
38,18027,20422,20,Nagano,長野県,Agematsu,上松町,あげまつまち,Machi,町,5245.0
39,18028,20404,20,Nagano,長野県,Anan,阿南町,あなんちょう,Machi,町,5455.0
40,18029,20349,20,Nagano,長野県,Aoki,青木村,あおきむら,Mura,村,4609.0
41,18030,-1,20,Nagano,長野県,Asahi,朝日村,あさひむら,Machi,町,4741.0
42,18031,20220,20,Nagano,長野県,Azumino,安曇野市,あづみのし,Shi,市,96479.0
43,18032,20452,20,Nagano,長野県,Chikuhoku,筑北村,ちくほくむら,Mura,村,5172.0
44,18033,20218,20,Nagano,長野県,Chikuma,千曲市,ちくまし,Shi,市,62068.0
45,18034,20214,20,Nagano,長野県,Chino,茅野市,ちのし,Shi,市,56391.0
46,18035,20362,20,Nagano,長野県,Fujimi,富士見町,ふじみまち,Machi,町,15338.0
47,18036,20485,20,Nagano,長野県,Hakuba,白馬村,はくばむら,Mura,村,9205.0
48,18037,20363,20,Nagano,長野県,Hara,原村,はらむら,Mura,村,7573.0
49,18038,20202,20,Nagano,長野県,Matsumoto,松本市,まつもとし,Shi,市,243037.0
50,18039,20409,20,Nagano,長野県,Hiraya,平谷村,ひらやむら,Mura,村,563.0
51,18040,20205,20,Nagano,長野県,Iida,飯田市,いいだし,Shi,市,105335.0
52,18041,20384,20,Nagano,長野県,Iijima,飯島町,いいじままち,Machi,町,9902.0
53,18042,20213,20,Nagano,長野県,Iiyama,飯山市,いいやまし,Shi,市,23545.0
54,18043,20590,20,Nagano,長野県,Iizuna,飯綱町,いいづなまち,Machi,町,11865.0
55,18044,20481,20,Nagano,長野県,Ikeda,池田町,いけだまち,Machi,町,10329.0
56,18045,20448,20,Nagano,長野県,Ikusaka,生坂村,いくさかむら,Mura,村,1953.0
57,18046,20209,20,Nagano,長野県,Ina,伊那市,いなし,Shi,市,71093.0
58,18047,20321,20,Nagano,長野県,Karuizawa,軽井沢町,かるいざわまち,Machi,町,19018.0
59,18048,20304,20,Nagano,長野県,Kawakami,川上村,かわかみむら,Mura,村,4972.0
60,17201,40601,40,Fukuoka,福岡県,Kawara,香春町,かわらまち,Machi,町,11685.0
61,17202,40605,40,Fukuoka,福岡県,Kawasaki,川崎町,かわさきまち,Machi,町,18264.0
62,17203,40421,40,Fukuoka,福岡県,Keisen,桂川町,けいせんまち,Machi,町,13863.0
63,17204,40100,40,Fukuoka,福岡県,Kitakyushu,北九州市,きたきゅうしゅうし,Shi,市,976846.0
64,17205,40223,40,Fukuoka,福岡県,Koga,古賀市,こがし,Shi,市,57920.0
65,17206,40646,40,Fukuoka,福岡県,Koge,上毛町,こうげまち,Machi,町,7852.0
66,17207,40401,40,Fukuoka,福岡県,Kotake,小竹町,こたけまち,Machi,町,8602.0
67,17208,40402,40,Fukuoka,福岡県,Kurate,鞍手町,くらてまち,Machi,町,17088.0
68,17209,40210,40,Fukuoka,福岡県,Yame,八女市,やめし,Shi,市,69057.0
69,17210,40203,40,Fukuoka,福岡県,Kurume,久留米市,くるめし,Shi,市,302402.0
70,17211,40230,40,Fukuoka,福岡県,Itoshima,糸島市,いとしまし,Shi,市,98435.0
71,17290,07362,7,Fukushima,福島県,Shimogo,下郷町,しもごうまち,Machi,町,6461.0
72,17291,07561,7,Fukushima,福島県,Shinchi,新地町,しんちまち,Machi,町,8224.0
73,17292,07205,7,Fukushima,福島県,Shirakawa,白河市,しらかわし,Shi,市,64704.0
74,17293,07446,7,Fukushima,福島県,Showa,昭和村,しょうわむら,Mura,村,1500.0
75,17294,07209,7,Fukushima,福島県,Soma,相馬市,そうまし,Shi,市,37817.0
76,17295,07207,7,Fukushima,福島県,Sukagawa,須賀川市,すかがわし,Shi,市,79267.0
77,17296,07367,7,Fukushima,福島県,Tadami,只見町,ただみまち,Machi,町,4932.0
78,17297,-1,7,Fukushima,福島県,Tamakawa,玉川村,たまかわむら,Machi,町,7231.0
79,17298,07211,7,Fukushima,福島県,Tamura,田村市,たむらし,Shi,市,40422.0
80,17299,07481,7,Fukushima,福島県,Tanagura,棚倉町,たなぐらまち,Machi,町,15062.0
81,17300,-1,7,Fukushima,福島県,Ten'ei,天栄村,てんえいむら,Mura,村,6291.0
82,17481,01396,1,Hokkaido,北海道,Makkari,真狩村,まっかりむら,Mura,村,2189.0
